#{"t_start": 1781366624.4062605, "env_id": "None"}
r,l,t
-17.619999,24,237.154715
-29.16,192,237.168258
-30.01,7,237.200994
-28.81,77,237.207223
-28.63,164,237.226086
-29.86,7,237.259223
-29.87,26,237.277289
-17.61,53,237.306495
-17.470001,35,237.37252
-17.820004,24,237.37252
-29.51,32,237.457446
-29.99,55,237.463654
-17.420002,34,237.541738
-30.01,12,237.59846
-17.360004,49,237.614451
-13.880001,233,237.633079
-4.039995,118,237.671772
-29.119999,53,237.721327
-29.14,95,237.737931
-16.240005,132,237.747694
-16.810009,73,237.813163
-28.96,77,238.09971
-17.73,100,238.100213
-28.91,99,238.116124
-16.920002,141,238.353574
-17.3,52,238.36417
-29.38,148,238.524691
-28.03,200,238.556155
-29.93,49,238.590033
-30.68,200,238.683991
-34.11,200,238.69456
-33.41,130,238.703867
-30.099998,145,238.812933
-29.2,51,238.891957
-17.08,105,238.916557
-29.71,32,238.948724
-29.66,35,238.957965
-28.4,89,239.088565
-30.21,101,239.249296
-17.630007,43,239.273798
-29.88,19,283.680677
-29.77,98,283.865089
-17.450005,57,283.925569
-29.57,28,283.987962
-17.54,21,284.024565
-4.320009,118,284.035128
-30.0,36,284.151165
-28.23,179,284.151165
-27.7,200,284.161181
-30.26,52,284.246507
-31.35,200,284.28115
-49.67,34,284.306111
-16.78,159,284.306111
-29.74,200,284.322791
-30.0,34,284.413883
-28.43,76,284.506428
-28.82,98,284.607546
-28.859999,127,284.618226
-17.250006,49,284.647454
-49.589996,84,284.727569
-17.670002,42,284.819818
-28.88,114,284.859236
-27.98,125,284.888782
-30.76,37,285.038522
-17.160006,114,285.197713
-28.96,70,285.226857
8.110012,86,285.237066
-26.79,200,285.27458
-29.93,19,285.327807
-17.440002,31,285.419544
-30.95,193,285.430871
-17.150003,70,285.535769
-30.01,200,285.571962
-30.16,51,285.674859
-29.06,200,285.689993
-17.35,42,285.732224
-30.82,74,285.922913
-18.680004,113,285.959546
-31.79,200,285.991987
-17.370003,59,286.011531
-16.66,153,329.240116
-29.789999,200,329.3489
-29.039999,76,329.506382
-29.55,41,329.524922
-29.15,160,329.581265
-30.01,7,329.620378
-30.78,200,329.776313
-17.460003,63,329.808783
-29.87,63,329.896728
-16.94001,95,329.937138
-19.940002,184,329.966645
-29.56,42,329.973241
-26.98,193,329.973241
-17.640001,21,330.004903
-29.219997,200,330.101242
-27.69,200,330.147795
-4.619997,44,330.18879
-31.51,91,330.244549
-29.01,97,330.563124
-29.05,81,330.574622
-28.48,76,330.610226
-29.01,135,330.62007
-3.619997,135,330.65504
-29.99,10,330.669193
-30.06,155,330.889488
-28.83,200,330.904074
-30.669998,200,330.940167
-29.67,73,331.024299
-30.06,87,331.079216
-29.78,14,331.093769
-29.58,44,331.124403
-16.470001,109,331.14437
-16.150002,106,331.407322
-26.98,200,331.540041
-29.52,30,372.39166
-15.280021,240,372.426931
-47.5,164,372.43236
-30.01,17,372.46587
-29.52,33,372.568869
-29.92,33,372.573617
-16.790005,116,372.636324
-26.140001,200,372.707227
-27.9,200,372.746526
-28.49,200,372.764936
-5.1500015,48,372.782759
-17.720016,250,372.938521
-16.130013,96,373.124162
-29.099998,106,373.231564
-17.990005,195,373.328484
-27.869999,200,373.465225
-28.359999,121,373.494392
-28.89,200,373.544612
-26.92,200,373.667375
-17.660004,229,373.840218
-4.5899963,74,373.850079
-16.460014,94,373.916166
-15.820002,173,374.060807
-28.48,200,374.079816
-29.52,113,374.085799
-29.87,30,374.206381
-28.989998,200,374.286305
-28.02,102,374.341254
-28.61,113,374.384539
-17.05,100,374.400281
-17.0,117,374.646828
-1.3599491,248,421.122406
-16.320011,173,421.171384
-3.4099884,133,421.274749
-27.49,200,421.452374
-27.2,200,421.498211
-26.51,200,421.534816
15.340111,280,421.709677
-28.95,200,421.760475
-27.94,200,421.932253
-33.29,200,421.980446
-29.14,200,422.087118
-29.5,145,422.123917
-31.61,200,422.263214
-26.75,200,422.310677
-3.7899933,85,422.328621
-28.76,200,422.517198
-28.11,200,422.563933
-17.490002,120,422.569254
-47.459984,170,422.618319
-28.94,200,422.96678
-3.1699963,178,423.080091
-27.29,200,423.13509
-3.1699944,173,465.29429
-29.039999,74,465.370178
-28.619999,200,465.370178
-29.529999,200,465.431135
-27.59,200,465.497304
-36.570004,75,465.723135
-16.700016,158,465.813563
-29.69,25,465.838742
-28.98,200,465.848717
37.30993,390,466.034859
-29.11,45,466.06227
-15.970004,157,466.250204
-15.840009,207,466.304319
-28.8,200,466.33924
-1.8499794,192,466.358112
-16.530012,75,466.606057
-28.13,200,466.77197
-16.380001,95,466.790311
-28.02,200,466.796016
-26.84,200,466.984503
-27.74,200,467.007923
34.570038,156,467.018746
-27.32,200,467.255118
-15.690014,140,467.436392
-27.49,200,510.907495
-28.08,200,511.060867
-29.88,200,511.083234
8.240036,175,511.178104
-26.990002,200,511.264981
-28.05,200,511.295699
-29.4,52,511.488459
-27.910002,200,511.513552
-16.620012,99,511.723258
-28.619997,200,511.765659
-12.890001,250,511.906289
-28.28,200,511.932876
-17.790003,41,511.948795
-28.49,200,511.958426
-25.600002,200,512.057361
-47.599983,135,512.092185
-15.960015,134,512.333666
-27.660002,200,512.415747
-16.160004,103,512.429674
9.350101,144,512.60093
-29.75,200,512.833187
-27.19,200,512.874818
-29.589998,200,513.033
-16.15002,140,513.101008
-3.5699615,183,552.435676
-2.8899918,254,552.480309
-33.34,186,552.519168
-26.010002,200,552.737624
-17.570007,103,552.904814
-29.48,200,552.94636
-28.140001,200,552.983727
-30.359999,200,553.132873
-30.76,200,553.19844
-27.42,200,553.293717
-29.95,16,553.366147
-25.780003,200,553.390005
-15.860007,109,553.399457
8.579975,178,553.532331
-16.68,95,553.628932
-28.289999,170,553.729688
-26.99,166,553.754925
-29.09,62,553.824357
-30.289999,200,554.049656
-26.76,200,554.290299
-27.93,200,554.315966
10.230244,246,554.557203
-26.94,200,554.684203
-31.419998,200,554.70787
-27.94,200,597.454316
-34.700016,200,597.683502
-16.80001,74,597.701705
-10.689838,301,597.728482
-16.000027,169,597.777823
-29.439999,200,597.942464
-28.099998,200,598.162772
-29.75,91,598.359419
-2.6400146,199,598.365231
-26.900002,200,598.600719
-30.039999,200,598.621105
-23.109964,283,598.683095
-14.050022,250,598.874115
-1.3800106,242,598.888258
-36.690006,220,599.169396
-28.39,200,599.343583
-28.84,200,599.352247
-13.930031,250,600.193994
-15.020015,250,600.231003
-30.369999,200,634.770834
-28.85,200,634.785279
9.480011,148,634.925753
22.940235,322,635.122244
-29.75,200,635.156574
-14.870013,250,635.269412
-28.449999,165,635.481606
-28.91,200,635.569172
-27.990002,200,635.613187
-2.1499958,209,635.626608
-16.990005,134,635.671894
-27.69,200,635.776963
-27.230001,200,636.032912
-47.989975,170,636.275987
-28.689999,200,636.58875
-2.4899654,300,636.676613
-12.249981,250,636.804509
-1.1799946,250,636.863738
10.450111,261,636.970291
-0.3999672,270,637.124463
-28.22,200,675.526103
-1.929987,265,675.58954
-29.43,200,675.786465
-18.630003,90,675.959879
-28.24,200,676.000211
8.940083,208,676.123345
10.0100975,273,676.147232
-4.5600014,94,676.174667
-26.98,200,676.228204
22.200115,280,676.284475
-28.49,200,676.364984
-27.59,200,676.802613
-29.49,200,676.84927
-10.959913,169,676.869944
-28.41,200,677.008665
-26.32,200,677.067436
-29.72,200,677.277086
-0.3199501,242,677.333271
11.390038,239,677.380669
9.019993,127,677.480246
-16.220009,149,677.535779
-16.580006,62,716.4934
-28.53,200,716.661584
-5.520006,133,716.698382
-16.400013,186,716.84324
62.24006,270,717.027772
20.060032,229,717.090075
-29.789999,200,717.154306
36.98002,420,717.53554
-15.780019,195,717.541367
8.410049,248,717.595597
-27.470001,200,717.605276
9.750015,193,717.71908
7.85001,142,717.799436
-30.07,64,717.830041
-26.34,200,717.936942
-15.620023,189,717.952646
-28.44,200,718.510355
-14.710012,190,718.601463
-16.760017,219,718.618248
-15.5000305,231,718.618248
-27.36,200,718.815245
22.69004,225,758.113791
-15.470016,250,758.122261
-14.030016,250,758.236836
-4.3899937,84,758.243997
15.07008,165,758.507523
-27.07,200,758.692605
-4.4700127,205,758.717634
-35.280006,135,758.77892
34.369995,132,758.896775
-47.629997,137,758.918116
-28.74,200,759.09835
-16.240002,92,759.160875
-28.89,200,759.509531
-27.94,200,759.697477
-15.35003,190,759.708206
38.13997,450,759.827875
-28.89,200,759.864516
-28.81,200,759.885544
-28.39,200,760.132463
-28.44,200,760.227716
-3.4300232,186,797.749564
21.57,99,797.868802
-28.01,200,797.981243
-28.25,200,797.991046
-27.460001,200,798.103175
-14.980016,250,798.359042
-13.150002,250,798.379704
-14.790013,250,798.615428
-27.92,200,798.652653
-3.540001,59,798.658846
-27.69,200,798.935679
22.510075,245,799.018286
-28.89,200,799.059522
-16.230007,130,799.232804
-28.739998,200,799.336396
-15.1700325,205,799.604953
-13.160028,250,799.805884
-14.930013,181,799.833906
17.570202,420,799.927463
-31.310001,200,799.964237
-0.17996025,300,837.196278
-2.2999783,300,837.589868
-26.78,200,837.608837
-30.1,6,837.637606
11.300076,350,837.712489
-14.520033,248,837.860274
-0.02999878,300,837.871509
-3.7000084,172,837.990166
12.18021,320,838.324641
51.329918,348,838.420563
-51.46,173,838.445094
-26.92,200,838.664243
-16.600008,80,838.719992
-27.72,200,838.826111
24.670246,295,839.020749
-11.150032,226,839.100507
-1.3699379,293,839.456573
-16.550007,100,839.497542
-32.36,200,871.773741
-49.15,177,871.955745
-28.84,200,872.009442
-14.65003,250,872.035756
-27.82,200,872.374732
-15.0300255,250,872.527771
-34.619995,220,872.649687
-29.259998,200,872.674682
-13.670023,224,872.693499
-3.7399979,62,872.805267
20.680016,100,872.819301
-25.910002,200,872.92374
-23.679974,270,873.165621
-16.140007,131,873.283376
-1.7200127,300,873.375218
-28.49,200,873.61295
-27.490002,200,873.658874
-4.8399982,87,873.725629
-15.780019,190,873.731739
-30.319998,200,873.795705
-14.200022,250,912.045739
-13.5000305,220,912.542201
-27.570002,200,912.555462
-28.490002,200,912.560849
11.240219,324,912.611817
22.360142,266,912.792076
-14.720023,250,913.192363
51.489906,470,913.448934
36.930206,396,913.482614
-3.169979,214,913.502481
-13.950026,238,913.593056
-28.76,200,913.649114
-14.880016,250,913.696806
-4.83,300,913.853883
-1.0399437,270,944.239434
-13.680012,250,944.415819
-14.320015,250,944.472667
-14.050009,250,944.564928
-15.530019,250,944.668854
12.450161,315,944.717136
48.729904,273,944.717136
-29.53,69,944.947948
-3.2399864,300,945.011835
-2.429964,252,945.293195
-2.7400208,229,945.586543
-22.160028,270,945.608185
-28.94,200,945.627543
-13.720011,250,945.881778
-12.740007,250,946.217381
38.44999,450,976.880126
-27.03,200,976.890885
-14.63001,250,977.15568
-2.8199825,300,977.402752
-14.410026,250,977.429628
50.239883,385,977.534385
-17.410004,53,977.722918
-14.790008,250,977.827904
-27.65,200,977.922935
57.909958,540,977.962486
-28.32,200,978.247217
-16.41,100,978.360032
-2.4399529,300,978.464742
-27.15,200,978.485678
-27.720001,200,978.605134
-15.710017,194,979.021456
23.730179,296,979.514916
-28.67,200,979.524568
-25.920002,200,979.704424
-26.570002,200,979.873979
-15.080029,250,1015.016881
39.159996,450,1015.438795
-13.920017,250,1015.445643
-26.12,200,1015.48067
-34.610023,220,1015.583551
-27.54,200,1015.593243
25.390102,269,1016.016227
-0.68994904,270,1016.262678
-28.71,200,1016.408765
-15.720032,213,1016.427768
-34.68,220,1016.465657
-14.900012,234,1016.6583
100.780106,601,1016.793005
-14.320026,250,1016.810112
-1.889986,202,1017.14558
-29.189999,200,1048.050762
-29.33,200,1048.188158
-4.9500027,54,1048.406324
9.620007,186,1048.427056
12.010105,350,1048.813516
-26.600002,200,1048.865791
37.35997,378,1048.963133
5.650223,336,1049.033711
24.780228,296,1049.047787
-15.750007,187,1049.196463
-34.97,220,1049.386272
-28.329998,102,1049.549633
-4.660013,139,1049.640133
-27.38,200,1049.857664
-13.670038,240,1050.005429
