#{"t_start": 1781285167.7912755, "env_id": "None"}
r,l,t
-30.0,1,5.858677
-29.97,3,5.866306
-29.369999,78,5.869585
-29.87,8,5.88377
-29.97,8,5.88577
-29.36,62,5.891804
-29.55,16,5.915488
-29.22,38,5.916997
-29.67,33,5.922468
-3.6099987,86,5.93676
-29.369999,48,5.945583
-29.369999,28,5.945583
-4.5,38,5.955134
-29.53,24,5.96022
-29.84,15,5.972047
-29.69,25,5.984585
-29.49,39,5.993403
-29.57,23,6.000441
-29.84,25,6.008415
-30.07,3,6.010916
-17.21,38,6.017434
-29.34,28,6.03752
-27.17,185,6.090537
-17.130001,40,6.091539
-17.260004,48,6.092539
-29.16,97,6.09954
-4.010002,56,6.114875
-29.62,18,6.125755
-4.590002,88,6.134295
-29.07,93,6.168599
-29.49,25,6.171659
-17.03,55,6.192648
-29.24,55,6.199694
-17.510006,43,6.214552
-29.52,31,6.224389
-24.760006,75,6.229403
-29.369999,63,6.230937
-17.61,23,6.236989
-30.05,6,6.247166
-4.689991,122,6.261637
-29.64,25,6.273496
-30.04,10,6.279495
-29.25,44,6.283858
-29.97,8,6.298426
-17.28,44,6.307965
-29.75,33,6.347449
-29.48,24,6.358024
-16.54,101,6.365474
-29.07,47,6.37103
-29.21,82,6.397951
-29.25,48,6.402921
-30.01,2,6.404453
-28.97,82,6.420846
-29.55,36,6.433314
-30.05,6,6.433314
-29.8,26,6.461199
-16.100006,117,6.461199
-29.44,40,6.466763
-29.73,14,6.496013
-29.15,45,6.504522
-30.01,2,6.510055
-29.77,23,6.511698
-30.04,10,6.532239
-28.93,79,6.539535
-17.210003,53,6.552168
-30.11,12,6.555161
-29.53,50,6.570938
-29.65,16,6.573128
-17.410004,33,6.613983
-17.690002,31,6.614983
-2.4199963,121,6.626458
-29.75,11,6.6373
-3.8499985,62,6.6373
-28.61,107,6.652499
-28.89,45,6.6554
-29.82,13,6.660942
-29.89,25,6.662934
-17.900002,17,6.690125
-17.710001,23,6.701985
-29.59,20,6.702996
-3.809986,72,6.708449
-30.1,11,6.720015
-17.720003,39,6.730166
-29.92,18,6.737699
-29.75,26,6.749104
-29.93,4,6.755112
-29.96,22,6.759436
-48.949997,67,6.759436
-29.99,5,6.770421
-28.98,84,6.778677
-17.890003,21,6.797335
-29.92,18,6.799335
-29.45,26,6.800333
-4.2099934,44,6.804335
-16.85,77,6.827474
-29.92,28,6.845213
-17.300005,42,6.850608
-27.31,197,6.858835
-29.4,41,6.865828
-29.89,5,6.87251
-29.49,45,6.877525
-29.35,36,6.886705
-29.31,37,6.913273
-17.880001,15,6.913273
-29.08,68,6.920571
-29.48,44,6.921949
-29.67,28,6.931497
-29.15,33,6.933503
-29.59,20,6.961981
-30.0,1,6.963482
-30.0,1,6.967192
-29.64,30,6.980572
-29.99,5,6.980572
-29.71,32,6.990263
-27.96,143,7.00064
-29.54,35,7.009169
-29.52,28,7.036155
-30.01,2,7.038061
-29.81,22,7.047063
-28.98,40,7.062932
-29.39,70,7.062932
-29.65,36,7.06477
-29.87,8,7.080506
-29.25,41,7.090529
-17.380001,23,7.110909
-27.529999,128,7.112504
-17.460003,43,7.144707
-29.039999,110,7.15211
-28.75,63,7.165902
-29.79,15,7.178576
-29.92,52,7.188623
-16.79,61,7.194865
-29.87,8,7.210154
-28.67,92,7.219294
-17.05,57,7.226431
-29.15,46,7.23452
-29.5,36,7.236118
-17.09,36,7.247028
-16.7,73,7.249811
-29.42,43,7.269637
-29.82,23,7.275334
-30.06,22,7.275334
-17.940002,41,7.284707
-29.34,30,7.299772
-29.8,21,7.334474
-29.68,43,7.344778
-29.71,37,7.344778
-29.88,9,7.352708
-30.09,5,7.358902
-17.090002,57,7.367713
-16.34,83,7.367713
-30.02,13,7.375001
-29.71,62,7.385109
-16.380003,109,7.410352
-29.83,29,7.423205
-30.04,5,7.423205
-29.45,41,7.424881
-28.09,102,7.429702
-29.67,35,7.434046
-29.86,42,7.434046
-30.02,8,7.440145
-29.99,5,7.440797
-29.52,33,7.447015
-30.09,5,7.454015
-29.93,4,7.461731
-30.06,17,7.463248
-30.0,27,7.472439
-29.81,17,7.476871
-30.07,8,7.477867
-29.81,23,7.484467
-29.92,8,7.494541
-29.8,16,7.50212
-28.99,48,7.512616
-29.29,37,7.532515
-17.330006,33,7.535898
-29.68,29,7.536927
-29.84,10,7.552151
-28.55,101,7.558926
-29.8,16,7.568808
-17.100002,62,7.604411
-29.53,24,7.609692
-29.03,56,7.61529
-17.010004,48,7.625934
-17.78,10,7.626934
