#{"t_start": 1781293175.7816188, "env_id": "None"}
r,l,t
-27.17,200,378.237833
-28.9,200,378.431446
-49.70999,170,378.615371
11.45013,300,378.670445
-26.890001,200,378.675108
-27.52,200,378.72032
-14.920028,250,378.904375
-15.800006,234,378.93609
-30.039999,200,379.060333
35.000015,123,379.17678
-4.930002,76,379.250817
-28.18,200,379.250817
-16.030016,107,379.350573
-16.790005,58,379.495628
-34.260002,200,379.495628
-27.89,200,379.543911
-15.680018,250,379.644002
-27.62,200,412.496622
-49.109993,63,412.505881
-16.430006,90,412.517913
-49.06,170,412.559209
-48.309998,182,412.689102
-17.15001,151,412.704366
-15.210025,250,412.782039
-16.780008,75,412.792124
-28.29,200,412.873062
-28.03,200,413.213456
-31.369999,200,413.221237
-17.700005,127,413.240543
-27.480001,200,413.406611
-15.22001,250,413.469131
-29.19,200,413.52155
-16.050014,85,413.553792
-16.930008,88,413.775471
-16.090033,250,413.836224
-48.67997,112,413.982548
-29.069998,200,414.032082
-27.99,200,414.053658
24.510311,367,414.110013
-29.64,83,414.168488
19.910076,160,414.204607
-29.66,200,414.285731
-31.49,200,448.999269
-47.87999,156,449.06982
-15.760021,160,449.104572
-17.940002,148,449.112075
-15.730003,124,449.182981
-27.91,200,449.182981
-28.380001,200,449.345641
-3.170002,212,449.422802
22.200176,212,449.767346
-31.24,200,449.798194
-27.33,200,449.834148
7.3000755,119,449.873101
-28.22,200,449.926037
11.000042,252,450.047901
-27.39,200,450.107194
-14.470028,250,450.11955
-15.75,100,450.164554
-27.95,200,450.635456
-29.109999,200,480.738728
-35.669983,194,480.786845
9.52005,254,480.841398
-15.310028,208,480.909636
-4.499975,108,480.948155
-2.069973,253,481.046403
11.250111,320,481.076095
43.65013,344,481.136132
-16.720001,79,481.180457
-29.71,17,481.205005
-18.130001,80,481.276531
-15.710004,139,481.331758
-4.699999,93,481.416469
-49.28,75,481.571413
-30.94,200,481.716937
-15.080029,250,481.81638
-30.019999,200,481.867653
21.710129,158,481.954875
-15.950017,105,481.986573
-6.290001,97,482.103549
-14.940022,247,482.18812
-26.39,200,482.216076
-0.73997116,270,482.259836
-19.500002,83,482.295672
-15.1600065,190,482.586471
-35.45002,202,482.735122
34.140106,182,516.393932
-16.760015,150,516.462178
-31.24,200,516.582548
-30.14,200,516.689419
-30.65,200,516.729004
-29.359999,200,516.765992
-49.04,174,516.963828
-16.350023,169,517.154625
-29.4,200,517.172582
8.799999,211,517.259896
-14.970019,209,517.448925
-17.029999,55,517.492143
-30.82,200,517.52712
11.010105,220,517.655282
-2.7700043,87,517.858532
-18.170002,102,517.878901
-28.04,200,518.000016
-3.2199345,300,518.011212
-1.4299889,270,518.077637
-28.35,101,518.272804
-28.18,200,518.359569
-16.610004,98,518.499748
-34.780025,211,550.531214
9.090038,179,550.61824
-19.740004,101,550.689501
62.570145,388,550.761367
-18.09,121,550.841177
8.230015,71,550.952579
22.110115,251,551.019264
-31.140001,200,551.278365
-28.109999,200,551.31344
-27.14,200,551.414097
-29.7,31,551.45309
25.040096,370,551.51585
-26.800001,200,551.659927
-15.210017,250,551.774415
-28.18,200,551.783335
-3.1800156,191,551.817173
-47.869987,170,552.119581
-27.339998,200,552.19982
-4.2199936,114,552.24296
-17.630013,250,552.273012
-29.39,200,552.285601
-29.66,200,552.420485
-28.789999,200,583.480454
-26.779999,200,583.489689
-28.74,200,583.884773
-4.370018,193,583.945036
-28.54,200,583.959557
-48.98,181,584.036539
0.039993286,295,584.178369
-29.55,200,584.232134
-14.790024,219,584.311152
-11.3299465,175,584.577085
-29.83,200,584.744722
-15.8500185,157,584.856418
-11.210003,265,585.118515
-17.28001,250,585.204377
79.96988,540,585.329409
-15.210015,250,585.353321
-27.939999,200,585.427013
22.220257,360,585.447468
-14.110039,225,615.31188
-27.08,200,615.630015
-27.52,200,615.763134
-1.7499962,195,615.81198
-32.19,200,615.85428
-28.03,200,616.070758
22.710064,343,616.090792
13.05011,320,616.177923
65.379944,496,616.440982
-27.99,200,616.511799
-28.949999,200,616.559433
-1.7299824,300,616.794272
-15.630015,250,616.818261
-35.890007,220,616.964332
-30.64,200,616.983371
-17.640001,41,617.127127
-1.879961,280,644.935903
8.820023,104,644.992001
35.22004,211,645.131069
-15.240016,250,645.207694
-30.519999,200,645.334346
-29.58,200,645.645241
23.890125,345,645.670014
-31.48,200,645.692273
-18.180017,250,645.695814
-29.48,200,645.855087
11.610123,270,646.16773
11.620071,350,646.251235
-27.49,200,646.337609
-2.9199772,300,646.393676
-27.970001,200,646.564106
-17.370031,250,646.573201
11.040054,259,646.584809
20.7201,175,676.679707
11.230148,330,676.747577
-29.75,200,676.958712
-33.43,200,677.026201
-15.290024,250,677.067381
-35.390015,200,677.223857
-31.32,200,677.236264
-27.3,200,677.556802
-2.8999596,300,677.630287
-15.210034,250,677.700623
-30.089998,200,677.908582
-13.670023,236,678.018379
-20.21001,250,678.271918
23.720139,332,678.35196
-28.56,200,678.402438
-35.680004,200,678.531798
-5.91,129,678.547353
-14.870022,250,678.681707
18.640148,370,709.510329
-20.430016,219,709.549823
-2.8400002,216,709.926724
-30.22,200,709.939383
-35.65,200,710.147753
-17.880013,250,710.382453
-29.789999,200,710.404726
-31.56,200,710.444387
-9.009924,320,710.538945
-28.49,200,710.88039
26.07011,370,711.107472
-1.9299793,270,711.189689
-32.700005,200,711.591147
11.200027,247,711.696302
-16.130014,250,711.821563
-2.1200008,270,711.899558
32.73028,417,742.677212
-33.29,200,742.696412
-15.610034,250,742.80954
-27.49,200,743.075779
-17.290007,111,743.147724
-16.910007,247,743.152851
39.579994,382,743.167548
8.850246,317,743.553348
-2.6199932,300,743.605249
-29.55,200,743.717254
-1.8899441,300,743.989401
-16.240028,229,744.197051
16.170033,295,744.41583
-27.560001,200,744.43903
-28.210001,200,744.491408
-4.4000206,300,744.508493
48.37999,347,777.780772
9.240082,288,778.019878
-14.6600275,250,778.118437
-14.830029,250,778.31506
-29.72,200,778.323901
-21.130013,228,778.507046
-15.640017,125,778.532494
-2.329958,269,778.596306
-36.030006,220,778.675387
-3.230013,179,778.870796
-16.64002,147,778.93818
24.16016,400,779.232357
60.72004,240,779.664504
-15.02004,231,779.709643
12.310036,319,779.735584
-14.330039,250,807.59436
25.080261,385,807.816823
-4.029997,129,807.83894
-5.089987,300,807.887929
48.610092,470,808.216279
10.840149,350,808.436945
11.130196,280,808.606122
11.350174,312,809.338901
10.930153,350,809.436801
38.17005,403,809.451819
10.480194,350,809.461445
-18.99002,250,809.594349
66.35984,512,809.702164
-16.540009,120,836.27033
-28.789999,200,836.376182
23.91027,364,836.381222
39.32003,450,836.426518
-28.849998,200,836.461358
-27.7,200,836.679358
-17.32001,100,836.792022
-1.8400192,300,836.898499
-28.32,200,837.349028
50.730026,386,837.349028
-2.120018,240,837.473562
-33.09,200,837.620847
-14.400034,209,837.880511
22.250175,370,837.928463
-17.760006,250,837.956511
25.240173,394,838.246401
-18.09001,204,838.251479
-4.9400063,70,838.269032
-5.970001,268,870.910761
-2.4399605,227,870.995571
-16.540009,109,871.088012
-27.390001,200,871.125951
-30.42,200,871.172642
-19.280006,95,871.507242
-32.4,200,871.513498
-4.679987,126,871.759321
-15.570015,189,871.847964
90.20983,504,872.083786
-36.82002,220,872.117848
-32.84,200,872.399472
-14.930026,207,872.433609
-17.320013,174,872.518708
21.560234,375,872.603509
-4.7700005,168,872.627921
-5.1100025,114,872.636962
58.059944,482,872.929156
-16.070013,73,904.22294
21.16019,192,904.424861
-28.920002,200,904.537363
-1.9499435,300,904.865497
21.400127,155,905.157869
