#{"t_start": 1781284635.6025443, "env_id": "None"}
r,l,t
-16.960003,197,45.411242
-31.84,200,45.46259
-28.24,200,45.471164
-3.2099476,209,45.588115
10.280224,276,45.633459
-16.78001,66,45.678494
-30.03,4,45.693949
-26.470001,200,48.702912
-28.939999,200,48.925381
-15.380014,173,48.932382
20.900066,219,48.982107
92.98974,583,49.257969
-21.070019,270,49.333451
-1.0399933,270,49.39006
-26.530003,200,49.421165
64.049934,393,49.493325
-26.35,200,49.683067
-26.630001,200,49.691591
-27.09,200,49.753733
-15.360018,128,49.998579
-24.69001,173,50.014738
-26.220001,200,50.183269
-26.75,200,50.212974
-28.59,46,50.386191
22.890144,294,50.405877
-28.69,200,53.205272
-48.529972,170,53.31163
34.16011,194,53.40516
-1.8300056,300,53.485025
7.5801163,306,53.985077
-3.9600048,213,54.103026
11.21014,282,54.118138
-27.279999,200,54.160469
17.32016,328,54.274437
63.089935,316,54.37028
64.890045,550,54.442379
-2.0299625,300,54.619432
-15.790009,140,54.62743
-28.44,120,54.718229
-26.970001,200,54.73377
-47.419968,170,54.976919
-13.500004,250,55.018505
-27.6,200,57.804178
-0.069971085,300,57.891253
-2.7499676,196,58.042931
-14.730031,229,58.069033
-34.67,160,58.174634
-2.119999,271,58.201837
-15.990007,95,58.205632
-1.4300137,300,58.40058
-27.949999,200,58.476657
-13.760006,250,58.528508
-27.33,200,58.765349
-28.01,200,58.911202
34.410057,210,58.915195
-14.060013,250,59.084107
-12.600027,221,59.189382
-28.36,200,59.189382
-2.8499641,212,59.278793
25.160213,400,59.426614
-28.94,200,59.453146
-47.89997,170,62.002198
-27.54,200,62.101997
-27.199999,200,62.267278
-28.21,200,62.368388
-26.8,200,62.452645
-29.48,44,62.510144
-48.42,187,62.621611
-1.4899845,300,62.695518
-3.9899998,94,62.764183
11.00013,318,63.027214
24.16016,321,63.176987
-29.24,200,63.303114
-27.449999,200,63.375839
51.63983,440,63.414977
3.6301155,361,63.487695
11.100197,339,63.670285
11.250156,282,66.365323
-27.150002,200,66.628726
-35.089996,220,66.768429
10.73011,320,66.8992
24.900105,373,66.928592
-2.4199886,261,66.935585
-27.84,200,66.970981
-1.9899845,300,67.119957
-14.1300335,229,67.124474
-4.4900036,127,67.388607
-15.53002,250,67.451816
-29.93,200,67.56919
-15.130029,250,67.60211
-26.6,200,67.60211
-26.77,200,67.803862
-1.4699688,270,68.023838
-29.089998,200,70.565248
10.440136,350,70.606642
-16.960007,51,70.784694
-0.06999779,267,70.96944
-0.9099884,299,71.103375
-14.520009,250,71.141512
-29.61,200,71.235497
20.670055,163,71.323438
-14.440026,250,71.374659
-16.930008,72,71.575672
-28.070002,200,71.640971
51.88002,470,71.682003
-27.68,200,71.779406
-14.580022,250,71.997388
107.64986,670,72.237574
-14.420025,250,72.245457
-27.03,200,72.273155
-0.62997437,246,75.132338
-1.560009,300,75.177595
67.77995,520,75.514035
-15.14,127,75.55613
-0.9099598,270,75.682373
10.890087,350,75.692741
-17.170004,54,75.744881
-1.7199726,300,75.753076
-3.5499802,300,75.759162
116.809906,559,76.086544
-14.110035,250,76.36963
-26.58,200,76.442914
116.599945,507,79.58005
22.850277,376,79.645891
51.530075,384,79.734548
-20.960028,270,80.072291
67.30001,493,80.087109
65.60007,490,80.137652
12.44017,317,80.169339
8.140049,125,80.196966
-14.650022,250,80.465166
53.500053,500,80.514922
4.870228,315,80.756674
-24.770006,86,80.810287
-14.470027,250,80.946553
-14.730021,250,83.575635
-16.320007,79,83.767341
0.26001167,270,83.994123
25.34026,370,84.047576
-26.710001,200,84.05648
55.929863,472,84.356775
-26.95,200,84.405108
80.64008,479,84.447561
-26.470001,200,84.786724
49.540115,392,84.814099
-1.0800114,254,84.968762
-26.69,200,85.137495
11.010216,296,85.40596
22.96016,355,88.20398
10.970234,253,88.2812
-16.360016,113,88.359
-1.9099941,300,88.424935
162.84988,597,88.539119
105.580124,559,88.591021
-29.91,200,88.945416
62.17997,370,89.033645
51.80004,440,89.116335
-13.970022,250,89.257201
48.860085,320,89.570332
-1.9799633,300,89.608859
-27.8,200,89.646589
-26.420002,200,92.471572
-14.700013,250,92.506384
52.9899,414,92.563076
11.480091,350,92.774472
131.27997,558,92.777476
-4.0500126,148,93.057635
-0.32998276,300,93.099144
-27.54,200,93.171055
5.4001846,301,93.171055
24.00029,315,93.185057
-13.860035,227,93.230001
-15.020026,250,93.610896
-26.690002,200,93.74866
-27.41,200,93.933862
-2.8099594,255,93.994468
23.970238,370,94.044487
-13.830025,250,96.876232
52.12992,386,96.924101
119.51988,458,97.147132
-1.1599808,277,97.314255
11.000114,350,97.331731
64.45999,420,97.736436
-27.29,200,97.983404
-1.1400013,267,98.037773
11.44017,350,98.041781
107.06004,558,100.772073
17.93011,292,100.779121
167.35982,900,101.061535
122.130356,660,101.539888
51.950233,426,101.88226
66.08977,520,101.897525
24.410206,394,102.026999
10.090134,350,102.185575
95.63992,516,104.918477
-3.1500378,295,104.993973
137.0299,634,105.043105
-1.9699821,293,105.334796
76.12991,366,105.551532
10.490131,350,105.647481
-27.59,200,105.679012
253.26004,891,105.819469
-0.7800045,268,105.862023
-29.18,72,105.889385
-28.67,66,105.904023
22.040062,215,106.040386
118.36986,477,106.245708
-20.890018,270,109.099997
80.659996,549,109.10516
-0.63002205,264,109.158988
22.520023,168,109.17826
24.30014,282,109.203834
11.370224,285,109.354866
-16.020008,78,109.410692
-16.270008,105,109.695239
119.99991,562,109.777498
91.54985,483,109.831967
-17.210001,36,109.900238
-12.94001,250,109.920893
35.900085,228,109.925733
-1.8999786,300,110.090232
7.35001,120,110.104996
35.8601,296,110.184061
36.45005,285,110.350465
-2.8900204,162,110.432927
-27.380001,200,110.490741
-29.35,36,112.994487
9.450012,216,113.183345
8.380001,126,113.243181
24.490108,342,113.461843
38.56993,366,113.540559
36.56002,348,113.665218
103.50003,350,113.762347
-28.77,108,113.858913
9.480103,276,114.175837
-20.260004,283,114.257171
24.050255,400,114.400611
36.0701,216,114.422908
59.14991,487,114.422908
-29.52,48,114.569392
-14.080029,250,114.682565
24.610275,339,117.156255
-26.95,200,117.352393
76.99006,339,117.356205
-48.079994,150,117.360333
-14.520017,250,117.952403
51.819984,352,117.976392
77.34997,332,118.091444
63.90011,366,118.328701
30.180023,335,118.437698
131.69008,561,118.437698
9.220036,163,118.487342
64.59998,450,121.24311
22.900127,297,121.387687
15.3501625,271,121.417581
-34.86,220,121.48037
10.890129,198,121.522578
-27.67,200,121.581743
-16.120005,75,121.66277
21.300064,187,121.85564
152.58028,683,121.999955
23.940254,359,122.043865
-3.1399994,138,122.109975
-26.83,144,122.33444
-13.11998,250,122.345571
33.000046,96,122.369146
24.330135,324,122.656079
25.130299,400,122.794917
-3.6500092,150,122.83476
-14.370029,250,125.640253
236.4505,570,125.744205
23.060123,288,125.794064
-29.71,12,125.833541
37.34011,385,125.86301
65.61983,473,126.037756
0.66000175,300,126.104534
-1.6599922,251,126.133724
-29.56,42,126.240762
-15.830026,250,126.577274
-0.42000008,270,126.773361
-0.55999184,300,126.841955
72.95004,483,126.884377
38.620026,386,126.925263
-20.219986,270,126.950735
10.630245,230,127.023288
-2.789997,222,129.905102
65.330055,416,129.938494
104.73984,372,130.447724
17.32011,420,130.687419
76.99995,438,130.776357
136.57048,564,130.821773
37.600166,288,130.832567
-29.73,24,130.855982
104.32013,450,130.893174
-29.69,30,130.995761
24.440197,388,133.589056
177.93,587,133.597443
-2.9999657,231,133.609594
8.960049,114,133.637475
-29.82,18,133.659379
48.110054,210,133.805842
-16.510008,75,133.911816
-3.9300213,184,134.242754
